title,tags
Inception,"dream mind sci-fi action"
Avengers,"superhero marvel team fight"
Interstellar,"space time travel sci-fi"
The Matrix,"virtual reality hacker fight"
Jumanji,"jungle game fun comedy"
Iron Man,"superhero iron suit tech"
Spider-Man,"web marvel teenager hero"
Doctor Strange,"magic time stone marvel"
Batman Begins,"dark knight superhero dc"
Captain America,"patriot superhero soldier"
Asur,"myth thriller murder cbi sacrifice"
Panchayat,"village comedy drama rural life"
Sacred Games,"crime thriller politics police gang"
Mirzapur,"mafia revenge violence drugs"
The Family Man,"agent spy terrorism family mission"